"channelId","频道名称","清理结论","原因代码","说明","清理后领域","原搜索词","证据片段","公开来源","原观察时间"
"UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","animal rescue","SUBSCRIBE FOR A COOKIE! New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time! Accomplishments: - Raised $20,000,000 To Plant 20,000,000 Trees - Removed 30,000,000 pounds of trash from the ocean - Helped 2,000 people walk again","https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA","2026-09-18T12:22:50.015Z"
"UCgFXm4TI8htWmCyJ6cVPG_A","Toys and Colors","exclude","fiction_or_roleplay","公开简介披露虚构／重现／角色扮演；不作为真实职业或救助实践名单。","","animal rescue","come join us in our fun and colorful universe where we pretend play, use our imagination, sing, dance, and have a great time with friends, family, and lots of TOYS! We have millions of fans all over the world who enjoy our fun kids videos about: being a good brother","https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A","2026-09-18T12:19:51.757Z"
"UCK5Q72Uyo73uRPk8PmM2A3w","Genevieve's Playhouse - Learning Videos for Kids","exclude","children_entertainment","儿童娱乐／启蒙内容，偶然探访兽医、动物收容所不代表其主体从事该职业。","","animal rescue","to Genevieve’s Playhouse where we create all kinds of educational videos for kids and toddlers using toy based learning. Come along as Genevieve plays with characters from Paw Patrol and Peppa Pig, while learning counting numbers, basic words, and storytelling skills. Our video fo","https://www.youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w","2026-09-18T12:20:30.524Z"
"UCx790OVgpTC1UVBQIqu3gnQ","★ Kids Roma Show","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","veterinarian","Welcome to Roma and Diana world - where Roma, Diana, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more. All rights reserved. This visual production contains original artistic","https://www.youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ","2026-09-18T12:22:50.581Z"
"UCsT0YIqwnpJCM-mx7-gSA4Q","TEDx Talks","exclude","general_institution","综合学校／职业平台／综合演讲内容，未确认专门领域主体。","","veterinary; veterinarian; physical therapist; animal rescue","TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own,","https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q","2026-09-18T07:59:10.031Z"
"UCpYye8D5fFMUPf9nSfgd4bA","BabyBus - Preschool Songs & Learning Cartoons","exclude","children_entertainment","儿童娱乐／启蒙内容，偶然探访兽医、动物收容所不代表其主体从事该职业。","","animal rescue","ive experience for kids aged 2 - 6 by creating classic nursery rhymes, kid songs, and stories with 2D & 3D animations. In the BabyBus world, KiKi, Miumiu, and their friends inspire kids to experience true friendship, care, creativity, and imagination in a fun and sma","https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA","2026-09-18T12:21:30.349Z"
"UCKaCalz5N5ienIbfPzEbYuA","Jordan Matter","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","My daughter has taken over my channel!","https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA","2026-09-18T12:20:31.122Z"
"UCYzPXprvl5Y-Sf0g4vX-m6g","jacksepticeye","exclude","gaming","公开简介为电子游戏／游戏娱乐，未见目标职业主体。","","animal rescue","I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation.","https://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g","2026-09-18T12:23:06.431Z"
"UCoookXUzPciGrEZEXmh4Jjg","Sesame Street","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","animal rescue","Welcome to Sesame Street! A colorful community of monsters, birds, grouches, and humans. A place where everyone counts. Spend time with all your favorite furry friends and subscribe for new videos every week. For more fun games and videos for your preschooler in a safe, child-friendly environment, visit us at With a signature mix of laughter and learning, Sesame Street has been enriching minds and bringing families closer for five decades. Rigorously researched and deeply inc","https://www.youtube.com/channel/UCoookXUzPciGrEZEXmh4Jjg","2026-09-18T12:21:16.059Z"
"UCl_P0sCqxOdQpMwuajdXkRg","Diana and Roma EN","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","veterinarian","Diana and Roma english Welcome to Diana and Roma world - where Diana, Roma, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more. All rights reserved. This visual production con","https://www.youtube.com/channel/UCl_P0sCqxOdQpMwuajdXkRg","2026-09-18T12:20:38.483Z"
