"频道名称","粉丝数","简介","邮箱","国家"
"Dr. Harish Grover","8000000","Dr. Harish Grover – Posture & Spine Alignment Specialist | Best Chiropractor in India 🇮🇳.

Get expert chiropractic and spine alignment treatment from Dr. Harish Grover, a renowned Chiropractor in Gurgaon and founder of Painflame Clinic.

Book Your Appointment Today
📍 Sector 38, Gurgaon (In-Clinic):  +91-8505830784    |   +91-9560634383
📍 Paschim Vihar, Delhi (In-Clinic):  +91-8796301110
 💻 Online Video Consultation:  +91-9205995900

Follow us: 
🌐   www.painflame.com
        www.instagram.com/painflameclinic/ 
         www.facebook.com/chiropractorharishgrover/

 Dr. harish grover social media :
       www.instagram.com/drharishgroverchiropractor/
        www.facebook.com/drharishgroverchiropractic

Email : painflameclinic@gmail.com
Address : P195, Medicity, Sector 38, Gurugram, Haryana 122003

DR. HARISH GROVER
Ph.D. ( Spine )
M.Chiro, CCE ( USA )
DO ( Osteopathy )
Certified Chiropractor
Registered Osteopath","growwithus@painflame.com; painflameclinic@gmail.com","India"
"Dr.Rajneesh Kant","7380000","Dr. Rajneesh Kant is a renowned Chiropractor, Osteopath and Physiotherapist with over 22 years of experience in helping people understand, manage and overcome pain and movement-related problems.

On this channel, Dr. Rajneesh Kant shares practical and easy-to-understand information about:

- Back & Neck Pain
- Sciatica
- Joint Pain
- Knee & Shoulder Problems
- Headaches & Migraine
- Posture & Sitting Problems
- Sports Injuries
- Spinal Health & Mobility
- Physiotherapy & Rehabilitation
- Chiropractic & Osteopathic care
- Everyday habits that can contribute to pain

His mission is simple: “Dard Mukt Bharat” — A Pain-Free India.

Dr. Rajneesh Kant
Chiropractor | Osteopath | Physiotherapist
22+ Years of Experience | Mission: Dard Mukt Bharat

Address:-
150 meters East from Beur more Shivpuri Main Bypass road 
Patna - 800002

(MUMBAI  Clinic Contact Number - +919137352377)

Toll Free Number - 18005718777 
Patna Contact Details - +919308511357, +918409313131","rajnish8989@gmail.com","India"
"Animal Aid Unlimited, India","7230000","Animal Aid Unlimited is a leading street animal rescue center in India. Our hospital and sanctuary are home to more than 15,000 rescued and recovering animals each year. 

Please share our videos to support street animal rescue! 

Every donation, no matter how small, makes our life-saving rescues possible. Thank you for joining our rescue team.","","India"
"Rocky Kanaka","5630000","Rocky Kanaka Sitting with Dogs highlights some of the best shelter dogs in the world that just need their story told. It doesn't matter if it's a shut down dog, dog that needs to be told they are a good girl or a dog that is growling at Rocky Kanaka he wants to spend time with them to see if he can show them comfort and assure them the situation they are in isn't their fault. 

Rocky Kanaka believes Life's Better with Dogs and has recently started sharing Flip's Farm. The Farm is named after his soul dog Flip Kanaka that helped Rocky foster and rehabilitate rescue dogs in need for over a decade. Flip's Farm is a coffee farm and dog rehabilitation farm that sells Flip Coffee to support the efforts of Rocky's goal of giving dogs a safe space to heal until he finds them their forever home. 


#dogs #dogs #animals","info@madrescueinc.org","United States"
"Bob & Brad","5480000","Introducing the dynamic trio—Bob Schrupp, Brad Heineck, and the newest addition, Mike—the ""Most Famous Physical Therapists on the Internet""! With a combined experience of over 60 years in the physical therapy field, these seasoned experts bring you the best advice, tips, and information on how to get fit, stay healthy, and live pain-free—from the comfort of your home.
While Bob may no longer be on the screen, he continues to share his expertise from behind the scenes, and now, Mike joins the on-screen action. Our videos cover a wide range of topics suitable for everyone, from age 0 to 101. Whether you're looking for self-treatment techniques or simply seeking health-related insights, Brad, Bob, and Mike have you covered.
With a twist of humor in each video, we aim to make your health journey enjoyable. Don't miss out on the fun—subscribe to our channel and join us in the pursuit of a healthy, fit, pain-free life!

As  Amazon Associates, we earn from qualifying purchase","","United States"
"SpineCare Decompression and Chiropractic Center","4540000","Taking self-help exercises to the next level. 

Hello! I'm Dr. Michael Rowe. I own and operate SpineCare Decompression and Chiropractic Center in St. Joseph, Michigan. 

I've been treating everything that deals with neck, low back, and sciatica pain for over 14 years. With this channel, I'm going to share with you the best tips and advice to get your neck and back feeling better QUICKLY.

Don't miss out on any helpful videos, make sure to join us (by subscribing) and take one step towards better health!","","United States"
"Doc Jun Reyes","4206274","Dr. Jun Reyes background 

Dr. Juanito Reyes PT DPT received his bachelor of Physical Therapy from Emilio Aguinaldo College in 1999. He has worked in multiple settings such as orthopedic, neurological, and geriatrics for more than 10 years. Dr. Reyes is a board certified physical therapist in both Philippines and NY, USA and his graduate work includes Transitional Doctoral Degree in Physical Therapy from Stony Brook University and received S. Herdman vestibular rehabilitation training from Emory University.

All content found on the Doc Jun Reyes channel including: text, images, audio, video or other formats were created for informational purposes only.The Content is not intended to be a substitute for professional medical advice, diagnosis, or treatment. 

Dr Reyes Liniment cream Available Now! Hurry..Philippines 🇵🇭Click here -➡️ https://shp.ee/epfii89

Follow us on Facebook-👉🏼  
https://m.facebook.com/drjunreyespt","","United States"
"Vet Surgery","4160000","Veterinary Surgery India
Dr.Umar Khan , Uttar Pradesh , India 

Join this channel to get access to perks:
https://www.youtube.com/channel/UCAn5P2p22AaxdhjXPeJYHjg/join

Contact & WhatsApp- 9837125322","","India"
"The Urban Rescue Ranch","3430000","I bought a crackhouse and dump and turned it into a Certified wildlife rehabilitation facility and farm sanctuary for exotic (hunted) livestock in central Texas.","","United States"
"Tone and Tighten","3300000","Hi - I'm Jared! I am a doctor of physical therapy who specializes in rehabilitating orthopedic (back, neck, shoulder, knee, etc) and postpartum (diastasis recti) conditions. I love being fit, healthy, strong, and active, and hope to help you accomplish your fitness goals. On this channel you'll learn best treatments for common injuries through exercising and stretching, and how to become a fitter, healthier version of yourself. Please consider subscribing!

DISCLAIMER: The content on this channel is NOT medical advice and is intended for general education and demonstration purposes only. This content should not be used to self-diagnose or self-treat any health, medical, or physical condition. You agree to indemnify and hold harmless T&T Digital Media, LLC and its officers for any and all losses, injuries, or damages resulting from any and all claims that arise from your use or misuse of this content. Use of this content is at your sole risk.","","United States"
